message,award_title,recipient_title,nominator_title
To each and every one of you thank you for everything you do on a daily basis for us answering question helping with supplier issues or orders when they arise. There are too many things to put on here but thank you all again this award is long overdue. Have a great Christmas all and here's to a happy healthy 2026,Near the end of another amazing year,"Senior Director, Global Supply Chain",Buyer
"A huge thank you from the rewards sourcing team to our cross functional partners for the many successes in 2025 we've achieved as a team. Regardless of how well our sourcing machine works, if the onboarding machine breaks the whole process falls down. And each of you have played a vital part of ensuring the cogs of the onboarding machine were well oiled this year. New brands were launched, Client requests went live, onboarding issues were resolved and over 200 new products are live on our store thanks to the support of this group. Looking forward to continued success next year!",2025 Onboarding Partners,"Director, Global Procurement","Director, Global Sourcing"
"Jessica, thank you for taking ownership of ensuring high-quality execution for the Q4 All Hands. From making sure the Workplace Experience team had the rooms and logistics fully covered to ensuring the internal comms team was on top of the music and presentation details, I had complete confidence that nothing would be forgotten and nothing left to chance. Great job overseeing the effort and holding the cross-functional group accountable.",Nothing Left to Chance,Executive Assistant,"VP, Chief of Staff"
"David! The list of reasons why I am grateful to work with you is honestly pretty much endless. Thanks SO much for all of the support, kindness, care and craic that you bring every year. It really doesn't go unnoticed! You have an amazing attitude and are always so helpful when things get busy or stressful. I always think I got very lucky to land on my feet and have such an incredible manager and I'm really grateful for all you do for our whole team. Hope you have a lovely Christmas break 🤗🎄 From, your secret santa 🤶",Surprise 🤶!!,"Senior Manager, Product Design",Senior Product Designer
Thanks Rachel for all your help running jobs to clear out and update the recognition feed for the demos. Always appreciate the help!,Demo updates,Software Support Engineer III,"Associate Manager, Engineering"
"Brian, I wanted to take a moment to express my appreciation for your proactive approach in resolving the contract-related questions raised by two EMEA rewards partners. Your quick action, clear communication, and consistent responsiveness made a meaningful difference in keeping things; both across the internal teams and in our conversations with the suppliers involved. Your willingness to step in and provide clarity over the past week has not gone unnoticed. Thank you for all the effort you've invested to ensure we stayed on track. I appreciate it!",Contract Urgency!,Revenue Operations Associate,Senior Category Management Specialist
"Jordan, I want to recognize you and express my gratitude for your excellent documentation regarding content categorization and semantic search. While I first read it weeks ago, it's proven to have ongoing value as I've referred back to it several times this week alone, finding already-present answers to our ever-evolving questions. It's been very valuable in driving time-critical conversations, and the clarity and comprehensiveness speak to the quality and care you put into your work. Thank you!",Documentation!,Senior NLP Data Scientist,Senior Product Manager
"I want to take a moment to thank both of you for the exceptional support over the past few weeks. The work was new, challenging, and outside usual knowledge area, but you made the entire process so much easier. Thank you for always being reachable and support throughout. Our migration strategy and disaster recovery proof of concept are now clearly defined and well documented, thanks to your efforts. Your support has been invaluable—truly appreciated.",Database Migration Initiatives,Principal Cloud Infrastructure Engineer,Data Infrastructure Engineer III
Amanda & Patricia I just want to call out the fantastic support and collaboration between the US Payroll team and the EMEA payroll team. The relationship between both teams is a two way street. We rely on each other so much and I consider us all very lucky to work with each other. You are both so professional and excellent at what you do. It is an honor and pleasure to work so closely with you both. I look forward to our continued collaboration in 2026 and whatever new projects we get to work on together.,Fantastic Support & Collaboration,Senior Payroll Administrator,"Associate Manager, Payroll and Incentives"
"Sarah I just wanted to say great work with sharing little and often on the current user engagement research project. You took feedback on board and improved what you shared and it's making a real impact with the team. Our role is always to surface insights in a way that engages our stakeholders and help them to empathise with the end user, this approach is really helping there so well done, keep up the great work!",Sharing little and often 🙌,Associate Product Researcher,"Director, Product Design"
Thank you Emma for all the assistance you have given me in 2025 in providing recruitment information to me for our monthly and quarterly financial analysis. Your collaboration is greatly appreciated and I look forward to continuing this collaboration in 2026.,Thank you,"Manager, Recruitment","Associate Manager, Payroll and Incentives"
"Michael & Jessica,   On behalf of the CS leadership team, Alex and Sam, we want to share our sincere appreciation for all the support you've provided throughout the year. From helping us secure the best talent for CS to guiding us through every step of the interview and hiring process, you've been incredible partners to our team.  Your clear communication, timely updates, and commitment to finding the right people have made a significant difference to our recruitment experience. We truly value the dedication you bring to each search and the ongoing support you show us throughout the year.  As we wrap up another busy year, we wish you both a joyful Christmas and a wonderful New Year. We're excited to continue working closely with you in 2026!",Thank you for your support through 2025 !,"Senior Manager, Recruitment","Team Lead, Customer Service Operations"
"Rachel, Maya and Claire,  What an busy year it has been!  We took on so many projects and fixes between benefits and employee systems and I apprecite your help and partnership throughout the year!  You are always there to offer guidance and support and it is so appreciated!  Cheers to a great teamwork in 2025 and looking forward to it contuining in 2026!",Thank you!,"Director, HRIS",Global Benefits Partner
"A big thank you for your great support throughout 2025. Your nonstop efficient posting of receipts and proactive notifications of any delays have been key to keeping everything on track. I especially appreciate the improved descriptions on the payment processing file—it saved so much time investigating and made processes smoother. Also thank you for inclusion in those silly completions, it brought fun and team spirit :)",Thank you AR!,AR Collections Specialist,Junior Financial Accountant
"Jennifer, thank you so much for all your support recently, especially this week which was one of the toughest weeks of my career probably. You are an amazing colleague and a trusting leader, you are always so thoughtful, caring and giving, providing guidance, coaching, support and a fresh perspective to everyone around you. It's when times are tough you really know who's backing and supporting you and please know I'll never forget you being there. And while you are going through a lot yourself and so much going on, you are still picking me up! It means so much. I appreciate you!",Picking me up!,"VP, Customer Service","Director, Human Experience Strategy Partner"
"Amanda, Ryan and Sofia this award is a long overdue thank you for all the help yous have given me over the past while. All the little bits of help yous have dished out to me the past while all build up and all the big asks too! Whenever I have a question like ""eh how do a link multiple pdfs across multiple languages without breaking the system?"" or ""does this look right to you?"" 😂 yous all jump in to help straight away and that means I can get back to the customers with the correct solutions so much faster so thank you all so much!  Thank you all! You's are the best! x",Best team!,Principal Product Designer,Product Designer
"Hey Marcus,  Wanted to say thanks to you for your ongoing work in keeping us up-to-date with latest and greatest features and updates. From new CloudTech features and enhancements to latest tooling versions. This is a very important task as falling behind can cost us a lot in the long term. So thank you for keeping us apprised and for leading many of the upgrades yourself.  Thanks again :) Daniel",Keeping Up With Updates,Senior Cloud Infrastructure Engineer,Principal Cloud Infrastructure Engineer
"Thanks Tyler and Kevin for all your support in the build server migration for dev and preprod. When testing the jobs on the new build servers theres a-lot to account for but you stepped in to help with everything that you could account for, appreciate your help in all of this!",build server migration support,Principal Cloud Infrastructure Engineer,Data Infrastructure Intern
Thanks guys for your help in getting reporting services synced across all environments.,Reporting Sync,Data Infrastructure Engineer III,Senior Associate Application Engineer- BOS
"Hey Carlos,  A big thank you to you for working on migrating that network connection automation job from our old build system to the new. This work allowed us to fully decommission this old build system, saving costs and maintenance effort.  Thanks so much for doing this :)  Daniel",Network Connection Automation Job,Senior Cloud Network Engineer,Principal Cloud Infrastructure Engineer
"I want to take a moment to thank you both for your collaboration and support this year with all payroll queries, notifications received from the Regional Tax Authorities, providing R&D estimates for the Corporation tax provision. It's been a pleasure working with you. I look forward to continuing our journey together in 2026!",Thank you for 2025,"Associate Manager, Payroll and Incentives",Senior Tax Accountant
"Dear Patricia and Catherine,  On behalf of the Customer Service Leadership and Management team, we want to thank you for all the assistance provided throughout 2025. Your contributions have supported our success this year through various tasks that impacted the Customer Service team.  From accommodating late interviews on-site and ensuring candidates were looked after, even at short notice, to helping colleagues and myself with forgotten badges and keeping us informed about activities and notifications, your efforts have been essential.  Although we work from a different building, different shifts, which can make coordination more challenging, you have consistently ensured smooth communication and collaboration. This reliability has made a positive difference.  We appreciate your support during 2025 and look forward to continuing our collaboration in 2026.",Year-End appreciation for your support,Workplace Experience Manager,"Team Leader, Customer Service Operations"
"Robert - this award is long overdue. Since you joined TechFlow I have enjoyed working with you, but the last few months of partnering with you on several key initiatives for HX have been excellent. You've been great to help me shape ideas, give me important feedback, and help me coordinate with the team to move projects forward in a timely and productive way. I appreciate you and your partnership. Looking forward to 2026!",This GIF says it all,"Senior Director, Global Talent Acquisition and Employer Branding","Senior Director, HX Strategy Partners - US"
"The opportunity to collaborate with you has been a bit limited this year.  However, when it was time to meet with the Head of Compensation and the VP of Total Rewards at GlobalTech, I know this was the perfect fit to bring you in.  It was clear throughout, but specifically when Mark was asking your recommendation on how you've budgeted before in your previous roles, you stepped in with such credibility and experience to help give him and Tom so fantastic things to consider.  Looking forward to our next call with them at the beginning of the year to tap into some investment modeling with them.  Always a pleasure Lisa Thompson 💯",Dropping Knowledge on GlobalTech,Senior Consultant,Enterprise Sales Executive
"I want to send a special Thank you to you, Michelle, for all the special moments you made possible for me and my family throughout the year. Such precious moments created around your work. Thank you, from the bottom of my heart!",Thank you!,Workplace Experience Events Specialist,Accounts Payable Specialist
"Congrats on your new home, Priya! Wishing you all the best as you settle in and make it your own over the coming weeks.",Finally got the keys!,Software Engineer,"Manager, Engineering"
"Anna! Thank you for all of your incredible work at TechFlow. It's hard to fit it all in - from your content extraction tool that formed the basis of tons of Smart Assistant rules and the sentiment analysis work we did years ago, to your work on Content Generation, Message Classification, Project Analysis, the translation and analysis on data from international markets, and so very much more. Your technical work has had tremendous impact on making our products smarter and more human. But you've also had a huge impact on your colleagues here interpersonally, being a shining example of kindness, compassion, curiosity, humility, deep respect and just generally being an excellent all-around human being and coworker. You will be missed!",Exemplary Teammate and Human!,Senior Computational Linguist,"Senior Manager, Machine Learning Engineering"
"Nicole - I've been meaning to send this for weeks. Thank you for all of your timely responses to SO MANY requests from me as of late. With slight changes in processes, and needing to include new information in job postings, I've been hogging up your inbox. I so appreciate your partnership!",Long overdue!,Compensation Analyst,"Manager, Recruitment"
"Congrats to our Moments that Matter winners this week! Congratulations to Diego! You received the most votes for this fantastic customer feedback: ""Diego was fantastic. ​He quickly understood my question, researched, and came back with a clear and insightful answer.​."" Amazing job — keep shining!  Congratulations to Marcus! You offered an amazing service to this customer. You were able to resolve their issue in no time.  And congratulations to Elena! The customer was delighted with the service they received and appreciated the fast resolution to their query.  Fantastic job, everyone! A big congratulations again to all of you, and thank you for everything you do for our customers. Keep up the amazing work!",Moments that Matter,Senior Customer Service Executive,Customer Experience QA Specialist
"The end of the year is one of my favourite times, mostly because it naturally invites us to look back at all the ""wow,"" ""ugh,"" and ""did-that-really-happen?"" moments of the past months. And when I look back on 2025, I feel nothing but pride, and a huge part of that comes from getting to work alongside this strong leadership team. Your care, kindness, and resilience shine so brightly that your teams reflected it in the meaningful moments they're able to create for our customers. Sure, not everything this year was a walk in the park. Maybe some of it felt more like a hike in the rain with strong mountain wind! However, whenever challenges pop up, we know we can rely on each others knowledge, and experience, which is what makes us stronger every single time. Now, 2026 is around the corner, ready to throw new adventures our way, and I can't think of a better team to face the surprises, chaos, and victories with than all of you. Thank you again for all your great work this year! ✨",Thank you for a great 2025!,"Team Leader, Customer Service Operations","Manager, Customer Service Operations"
"As we wrap up 2025, I want to take a moment to thank every single one of you for the fantastic work you've done this year. It's been a year of change, growth, and learning—and through it all, you've shown resilience, adaptability, and an outstanding commitment to putting our customers first. Thank you for supporting each other, for backing your teams, and for having my back too. Because of your hard work and collaboration throughout the year, we went into peak well-prepared—and absolutely smashed it ( so far at least😉) ! I'm truly grateful for each and every one of you and the unique strengths you bring to this team. You've made a real difference, and it doesn't go unnoticed. Here's to an even more successful 2026—the sky is the limit! Thanks again for everything. It is a pleasure and privilege working with you !",What a great year !,"Associate Manager, Customer Service Operations","Senior Manager, Customer Service Operations"
"Marcus, I figured I turn my IRL recognition shoutout into an official one for employee recognition :). Not enough words to described the incredible positive impact you've had since starting your TechFlow tenure which, believe it or not, it's barely 7 months old. Big shifts happened the week you started – the team you were leading got bigger and joined a new function, new priorities were still in flux... all that alone is a lot to take in. But on top of it, you also had the entire company onboarding process, so... water from a fire-hose x1000?! Through it all and since, you've been a leader who's supportive, empathetic, collaborative, decisive, thoughtful, inclusive, and – probably more importantly – a someone who sees and believes in their people and their potential for growth. Thank you for being you!",Leadership at its finest,"Senior Director, Creative","Director, Creative"
"Congratulations to this group for supporting a real-life behavioral science experiment—quantifying the halo effect of paid media on website traffic and responses. As a business, we've known for years that core drivers of Demo Requests and Contact Us Sales responses come from direct load, organic search, and paid search sources. In 2025 we had the chance to observe for the first time ever what it would mean if one of those 3 sources shut off—the advertising freeze! The correlation was clear: paid search went to 0 while organic search and direct load traffic to the employee engagement platform page and responses dropped over 60%. The trend line was compelling, but we needed to rule out other factors. Sarah, Alex, and Emma—you supported the analysis understanding organic trends, proving that in fact core employee recognition terms were gaining organic ranking ground and search traffic fluctuation was negligible. David and Michael, you were at the helm of NA and EMEA paid search this year, pivoting by month and by quarter as budgets shifted and took on in-house management responsibility with the relaunch in December. As we go full-steam ahead in January, I look forward to watching the trend line reverse. This time we'll be able to better calculate total business ROI and make optimizations accordingly. This is a huge insight driving our marketing investment!",Quest for the halo effect of search marketing,Digital Marketing Manager,"Senior Director, Paid Media"
"Jordan, you have been steadfast in getting deep and solving a longstanding challenge for TechFlow, mobile employees and the spectrum of other cases. You approached the challenge head on, diving into who these users are, how they use our platform today (or not), what their challenges are, the competitive landscape, and most importantly the solution. We've spent countless hours together talking through the space and I know you have spent 10x that on your own. You have exemplified the thoughtfulness and quality we strive to have on our team not only in information collected but how you collected it. Less than 24 hours after talking through solution options, you had prototype coded a user interface mockup. The solutions we are getting to are going to be a game changer for our business. I'm thankful to have you on the team and for all the thoughtfulness you have put into developing our product strategy.",From Endless Debates to Thoughtful Progress,"Director, Product Management","Director, Strategic Planning"
"Kevin, wanted to say how impressed I am with the work you've been into the Product Social Committee, and especially in planning the upcoming volunteer day on Dec 17 with the Children's Hospital Foundation at Metro General. There are soo many logistics that go into planning this volunteer day, from organising payment to the charity, organising the food delivered, the menu for the day, organising food for ourselves, getting people there, ensuring everyone knows the policies of the charity, getting matching company branded merch! SO many things we are tackling to organise but you've handled it with so much grace and patience! I'm looking forward to this event so much, so much work has been put into it but the cause is so important! We're making such a difference to these people, so it'll be worth all the work! Great work and I'm very grateful to get to work with you on the social committee!",Fantastic planning for upcoming volunteer day!,Product Manager,Associate Product Researcher
"Lisa, Rachel, I want to take a moment to recognize the outstanding work you've both put in over the last few weeks to help us fully understand and meet the accessibility requirements tied to the contract we're in the process of agreeing with TechCorp. Your dedication, sense of urgency, and clear respect for our proposed new customer have really stood out, especially given the reprioritisation and time you've both invested to move this forward. You've thoughtfully mapped the interim accessibility assessment sequencing across scoping, auditing, and accessibility bug fixing to build a solid, credible plan. The walkthrough video you shared with stakeholders yesterday was also a fantastic and effective way to kick this work off across the relevant product teams. While there's still significant effort ahead, you've laid an excellent foundation. Thank you both, and the wider team, for tackling a long-standing accessibility challenge head-on and for helping ensure our product works for everyone.",Accessibility - it's coming together!,Principal Software Engineer,"Director, Product Engineering Operations"
"I would like to express my sincere appreciation to the Financial Planning team for your valued partnership throughout FY25. Together with the Operations team, we have achieved significant progress across a broad range of initiatives. Our regular meetings have been highly productive, enabling us to successfully resolve multiple agenda items. This collaboration has made a meaningful contribution to the quality, completeness, and accuracy of our financials. I look forward to continuing our close partnership and to achieving many more milestones in 2026.",Thank you,"Director, FP&A","Senior Manager, Financial Accounting"
"Thanks to all of you for your help during the year, we have had many emails back and forth and many questions but in all our many issues during the year, you all remained professional, considerate and understanding of some of the difficult situations that we came across, I really appreciate your support, Fair Play.",Supporting Team,Accounts Payable Specialist,Buyer
"Ladies, Thank you all so much for the wonderful job you did covering me when I was away. This wasn't the usual few days off. It was 2 full weeks including a month end! There was a time I wouldn't have dreamt of doing that but we have such a strong team now I had every confidence in you and I wasn't disappointed. Thank you for being the team players you are. I had zero worries on my honeymoon :)",Month End Marvels,Senior AR Collections Specialist,AR Collections Specialist
"Guys, A huge thank you for all your help on unapplied cash. We had a meeting recently where unapplied cash was discussed and you both jumped in to clear items to help ourselves prior to year end. This has continued in P12 with the clearing of outstanding amounts which i know was a long road but you both persevered and cleared these so we will be in a great position at YE. Cheers",Ongoing work on unapplied cash,Senior AR Collections Specialist,Financial Accountant
"I wanted to take this moment to thank each of you for a memorable year. So many achievements completed by our teams that just wouldn't be possible without collective efforts, the team is greater than any individual. Further to that, I want to wish a Merry Christmas to you all! Thanks again for all your support throughout the year, looking forward to what's next. Cheers",Year In Review,End User Services Engineer III,Senior Systems Engineer
"Dear Operations family! I want to take a moment to thank everyone for incredible collaboration and support throughout the year. Despite the many projects, deadlines, and cross-trainings, everyone continued to show support, patience, and teamwork. It truly made a difference. I'm grateful to be part of such a committed and supportive team. Thank you for always stepping up, helping one another, and keeping our work environment positive even during the busiest times. Wishing you all a very Merry Christmas and a joyful, restful holiday season!",2025 Wrap up!,Payroll Specialist,Junior Financial Accountant
"Thank you for taking the time to check if benchmarking reports could be run on our analytics platform, and for going the extra mile to explore alternative ways through automation tools. I really appreciate your effort and support! Thanks again.",Thanks,"AR Manager, Collections",Senior Financial Accountant
"Folks ,we have by now landed most of our Q4 giftcard requirements and it has all happened with the least amount of bumps ever .We had a plan and we implemented the plan. By all working together and solving remaining issues , we have made a lot of customers very happy. Many thanks and we look forward to plenty more cross functional collaboration in 2026 .",Smooth runnings in busiest period,"Manager, Accounts Payable","Senior Manager, Global Procurement"
"Girls, A huge thanks for all your help in recently and throughout 2025 as a whole. I have had various queries from customer rewards (Which is no easy task) to vendor files and reports but you've all be thoroughly brilliant in your support which in turn has made my job so much easier. Cheers, Jake",AP Support,"Manager, Accounts Payable",Financial Accountant
"Daniel, On behalf of the CS leadership team, Nicole and Eric, we want to express our sincere appreciation for all the support you've provided throughout the year. Your deep knowledge, responsiveness, and willingness to assist—often at short notice—have made a meaningful difference to our team. We truly value the partnership you bring to our work every day and the way you consistently ensure we feel supported across all payment services and security matters. As we approach the end of the year, we wish you a joyful Christmas and a wonderful New Year. We look forward to continuing our collaboration in 2026!",Thank you for your support through 2025 !,Senior Payment Services and Security Specialist,"Team Lead, Customer Service Operations"
"Claire, I want to give you recognition for your fantastic contributions to the social and culture team in 2025! I was blown away by the most recent event you run, the Christmas card making activity for the team. There was so much thought put into it, so many supplies bought and organised, so many thoughtful details like stencils and how to tutorials to make everyone in person and online feel included. Not only this amazing event, you always show up and participate in events, give input and share new ideas/suggestions. We are able to be succesful and engaging because of the contributions that we get from you and the other members of the social and culture team. You always bring new ideas, and ensure that we have fun, learn a lot, and connect as a team. This doesn't happen by chance, its the great work from yourself and the rest of the team. Great work, you are fantastic Claire!",Superstar on the social and culture team!,Product Designer,Associate Product Researcher
"Hi Amanda, I just wanted to send a quick thank-you for all the kind support you've given me. You've always been patient, provided clear guidance and shown genuine care --it's made a real difference and has never gone unnoticed. Thank you again, and all the best!",Thank you for your support!,Global Benefits Partner,Senior Computational Linguist
"Amanda, On behalf of the CS leadership team, Nicole and Eric, we want to express our sincere appreciation for all the support you've provided throughout the year. From helping us navigate countless company benefits queries to offering timely assistance whenever we needed clarity or had new requests, you've been an invaluable source of guidance and reassurance. Your patience, responsiveness, and constant willingness to help—no matter the size of the request—have made a real difference for our team. We truly value the partnership you show us each day and the consistent support you provide across all benefits matters. As the year draws to a close, we wish you a joyful Christmas and a wonderful New Year. We're looking forward to continuing our collaboration in 2026!",Thank you for your support through 2025!,Global Benefits Partner,"Team Lead, Customer Service Operations"
"Well done Sarah on the great work you are doing on comments. It was great to have you take me through the complexity of it. Seeing where you took it from Marcus's work and evolved things. It was lovely to see how you approached each type of comment and broke things down so clearly in the design specs and accessibility annotation. Very interesting to see the display media work you're progressing too. I know that this has a lot of nuance to this and it was interesting to hear how animated content has their own particular challenges in terms of accessibility. Great to see you're working so effectively and closely with David on this. I'd imagine there will be some back and forth on all this, but your deep thinking and collaboration with David will benefit us all! Great work Sarah! I always love getting your run throughs on what you're working on with Emma. I can see it is challenging work but (not surprisingly) you're killing it! Keep it up! Well done!!!",Well done Sarah!! Great work on comments!,Product Designer,"Senior Manager, Product Design"
Thanks team for jumping in to help me with the infrastructure issue that was preventing my app from starting in staging,Resolving messaging system connection issue,Senior Software Engineer,Senior Software Engineer
"Alex, thank you so much for handling everything over the past week while I took a few days off. It was such a relief to be able to fully switch off, knowing everything was in your capable hands. Your attention to detail and support for the team are truly impressive. I really appreciate all that you do – thank you!",Going Above and Beyond!,Merchandise Specialist,"Associate Manager, Merchandise"
"Huge thank you for all the guidance, thoughts and help this week, and in the run up as well! It's been tricky at times but I always felt supported and knew you had my back, from priority items, standard items, outside in and inside out, I want to say thanks, I really appreciate everything and excited to get into the visuals next!!","Priority item, standard item?!","Director, Strategic Planning","Director, Product Management"
"I wanted to thank everyone for the two hours we spent yesterday trying to make sense of the new workflow process. Each of you contributed in a meaningful way, and the session was extremely productive. Although we had to make some compromises, we moved closer to a consensus and established a clearer path forward. This level of collaboration and engagement is rare, and it truly made my job easier! Thanks so much for your cooperation and for the ongoing work being done behind the scenes. 🤝",Half a marathon's worth of work 🏃,"Director, Store Experience",Senior Product Designer
"Michael - big shoutout for an incredible year. You've pushed me, encouraged me, and somehow kept me levelling up without ever letting things get too comfortable 😄. I truly appreciate the trust, guidance, and space you give me -it's pushed me to grow and deliver at my highest level. Really excited for what's ahead in 2026! Building the future of our platform together is going to be epic!","Thank You, Michael -and Here's to What We Build Next","Senior Director, Product Management",Product Manager
"Rachel, thank you for your incredible leadership this past year (and all of the years prior)! You have led the team through so many complex projects and initiatives, providing invaluable direction and support while also keeping everything on track in spite of shifting priorities. I am truly in awe of all that you do for the team: from building strategic partnerships with stakeholders and departments across TechCorp, tackling blockers, pushing for clearer requirements and end goals, keeping motivation and morale high, and so much more. Thank you for your clear vision, strategic mindset, incredible focus on efficiency, ability to quickly diagnose and troubleshoot, and for keeping us laughing every step of the way! :)",2025 Leadership,"Senior Manager, Linguistics and WHiQ Operations",Linguist
"I'd like to take a moment to thank the Phoenix team for your incredible effort and commitment throughout this sprint, and for the preparation you've already put into the next one. Every one of you has truly stepped up, especially while navigating changes, challenges, and the absence of our product manager. Your proactive attitude, preparedness, and the way you've supported each other have been absolutely remarkable. Today, we closed Sprint 5 having completed all committed work, followed by a high-energy demo. This momentum carried straight into a smooth and highly focused Sprint 6 planning session. Your preparation went above and beyond; defining the remaining work, reviewing the backlog across FE, BE, and Testing, and helping to clear and refine it so we enter Sprint 6 with complete clarity. You've turned what could have been a very tough time into a real success. Echoing Ryan's words at the Q4 All-Hands, you have truly made the impossible possible. It's clear we have a dream team here. I'm excited to close Q4 in Sprint 6 by completing the essential development for Media Integration (Beta). It's a significant milestone, and with the momentum you've built, I'm confident we'll continue making the impossible possible. Thank you so much for your hard work and dedication. Your contributions are profoundly appreciated.",Phoenix Closing Q4 Strong Together,Product Manager,"Manager, Engineering"
"Jessica, I want to thank you so much for leading the team in the development, presentation, and curation of content in the December Marketing All Hands. Your role is strategic, thoughtful, caring, and critical for effective execution! While often behind the scenes, you are a driving force of Marketing communications and a true cultural energizer!",Marketing Cultural Energizer,Executive Assistant,"Senior Director, Paid Media"
"Chris, As we wrap up the year, I want to acknowledge the significant impact you've had across the Customer space. Your leadership on engagement reward stories, your drive to open new revenue streams through margin optimization, ad revenue via our platform and continued store optimization, have all made a tangible difference to our results and momentum. Stepping into sole Product Director responsibility for all of Customer during the mid-year re-org was no small shift, yet you handled it with confidence and pace. You came up to speed on Services remarkably quickly, and your work shaping the 2026 roadmap was thoughtful, grounded, and set us up well for the year ahead. You're consistently a great partner to work with. Commercially sharp, constructive, and always focused on ensuring the highest-value work rises to the top. I truly appreciate the collaboration and the positive tone you bring to every interaction. It is really great to partner with you and I especially appreciate your growth mindset especially around evolving technology and that our planning sessions are inclusive of all the priorities from our many stakeholders. Thanks for a strong year, and I'm looking forward to what we achieve together next.",Thanks for your leadership and partnership in 2025,"Director, Store Experience","Senior Director, Engineering"
"Lisa, when I joined the customer portal project I was honestly scared of all the new challenges, but everything has been so much easier thanks to having such an amazing captain like you on our team. You are always on top of things, always open to new challenges, feedback and ideas, and you bring a calm confidence that keeps everything moving forward. I have really enjoyed working with you over the last few weeks, and I am looking forward to seeing this project go live. We are almost there!",What a team player!,Product Manager,Product Designer
"Kevin, just wanted to thank you for everything that you did in the past week. There were quite a few moving parts in the week, between problems in ProductHub, Reward Systems, OrderFlow, Bulk Orders and PaymentGateway, we had our email reminder volume, quick ship and all the other moving pieces, you coordinated the group and ensured everyone got the right support and that the problems were managed succinctly and correctly. Thank you again for going the extra mile, enjoy the award.",Exceptional Coordination and Problem Solving,Merchandise Specialist,"Senior Director, Global Supply Chain"
"Robert, while its sad to say goodbye to you im excited to see all of things you achieve! I have no doubt you will do well during your studies and make sure to enjoy the beauty of Australia while you can. It has been a pleasure working with you and getting to know you! Thank you for being a pleasant, hard working member of the team. It won't be the same without you! Best of luck on your new adventure 🙌🏼",It's been an adventure..,Customer Service Executive,"Associate Manager, Customer Service Operations"
"Thank to you all for helping create a magical afternoon of celebration yesterday. Together we raised a whopping 3.5k for Children's Hospital Foundation and had loads of fun along the way. Daniel - you are an amazing DJ, great DJ voice and you brought us all to our feet - especially for the Dance Party finale Andrew - thanks for helping with the fund raising and sharing comms about the event Brian - great work securing raffle prizes and generously offering your payment account for the fund raiser Helen - wonderful comms in the lead up to the event and some secret missions accomplished too, nudge nudge, wink wink! Isabel - great help throughout making sure that we had the space, the food, and all the 101 things the rest of us didnt think of! Nathan - wonderful quiz master skills topped off with a marvellous hat! Samuel - hosting the Gift Exchange -loads of fun Yuki - well done on your first time running a raffle!!",Holiday Helpers - End of Year technology event,"Senior Director, Technology","Senior Director, Engineering"
"Patricia, your thought partnership & experienced navigation of complexity is so impressive! You bring a sense of professionalism, maturity & expertise that I've rarely witnessed in my career. You're a real asset to TechCorp & a fantastic business partner. Feeling very grateful, so thank you",Complexity Navigation,Enterprise Architect,"VP, Global Category Management"
"Thomas, I want to recognise the leadership and determination you've shown over the past number of weeks in working through some very challenging revenue recognition issues. You and the Financial Services team had to respond quickly to challenges driven by external changes, and you really rolled up your sleeves and dug into problem-solving to get revenue numbers flowing again. You were at the coalface of the work to resolve the issue, while also leading stakeholder communications and coordinating with the external groups we depended on to get procedures released, all while aligning with our release calendar at this time of year. Well done on steering the team through a difficult period and back to the sunnier climate of revenue recognition numbers populating daily!",Resolving Revenue Recognition challenges,"Senior Manager, Engineering","Senior Director, Technology"
Congrats on being a wheel spin winner for week 2,Wheel Of Supportasaurus - Week 2,"Director, Engineering","Manager, Engineering Support"
Thanks for all of the effort that went into introducing the support of synonym and stop words on the customer experience. This Services work has improved our ability to improve the search capability and in turn drive more successful results for our clients which should also increase sales. Thank you for introducing the initial capability and then following this up with the ability for the business to manage this in a self service manner. Great teamwork all round,Great work on the Synonym/Stop word introduction,Senior Product Manager,"Senior Manager, Engineering"
Congrats y'all on being todays winners on the advent wheel,Wheel of Supportasaurus - Dec 12th winners,Software Support Engineer III,"Manager, Engineering Support"
"Congratulations James and Grace on the arrival of your beautiful baby boy, Oliver! Oliver just couldn't wait to meet his Mam and Dad and made his early debut on the 19th of November. I know you are looking forward to bringing him home over the coming weeks and we are all absolutely delighted for you both. Wishing you all the best as you begin this wonderful new chapter—enjoy this special time!💙",Welcome Baby Oliver!,Supply Chain Associate,"Manager, Order Management"
"Marcus, thanks a million for all your help resolving an issue with security certificates. External IP changes by the vendor brought the system to a stop when new laptops were needed in a rush so you had to export firewall ip groups and compare to confirm what was missing. You did this with your usual speed and accuracy and by adding what was missing got the system up and running again saving my sanity in the process. Thanks again",Certificate Failures remediation,Senior Network Engineer,Senior Systems Engineer
"Alex, Thank you for going to the office today to cover some of my tasks, I got a notification that our delivery to headquarters was on the way and I had to come to headquarters to accept the delivery. Our priorities changed, you didn't hesitate to agree to come into the office even though it was a planned remote day for you. I really appreciate the flexibility and Team focus you have always shown.",Changing Priorities and Stepping Up!,Helpdesk Engineer III,"Manager, Global Helpdesk"
Ryan thank you for the quick action regarding the Nordic Rewards gift card we had and getting it suspended in the store promptly to avoid further issues with redemption. Really appreciate the follow up on this one and thank you for the support throughout 2025 . Hope you have a wonderful christmas and new year,Nordic Rewards,"Manager, Vendor Onboarding","Associate Manager, Customer Service Operations"
